freq,psd_x,psd_y,psd_z,psd_xyz
177.9,1.426e+02,1.877e+02,8.878e+02,1.218e+03
179.4,1.318e+02,1.777e+02,9.430e+02,1.253e+03
180.9,1.356e+02,1.691e+02,8.893e+02,1.194e+03
182.5,1.315e+02,1.713e+02,8.512e+02,1.154e+03
184.0,1.464e+02,2.045e+02,7.359e+02,1.087e+03
185.5,1.546e+02,2.120e+02,6.681e+02,1.035e+03
187.1,1.310e+02,1.909e+02,5.113e+02,8.332e+02
188.6,1.286e+02,1.787e+02,5.238e+02,8.311e+02
190.1,1.282e+02,1.418e+02,4.539e+02,7.239e+02
191.7,1.366e+02,1.285e+02,4.260e+02,6.911e+02
193.2,9.894e+01,1.176e+02,3.048e+02,5.214e+02
194.7,6.400e+01,1.198e+02,2.162e+02,4.000e+02
196.3,5.822e+01,1.350e+02,2.620e+02,4.552e+02
197.8,6.865e+01,1.714e+02,3.540e+02,5.941e+02
199.3,6.341e+01,1.588e+02,3.274e+02,5.496e+02
